361 registered_mae [(361, 6.497), (342, 3.398), (344, 3.367), (340, 3.332), (360, 3.331)]
361 normalized [(361, 4.221), (344, 2.495), (342, 2.395), (340, 2.371), (338, 2.334)]
361 normalized_p50 [(361, 4.688), (344, 3.14), (340, 3.126), (342, 3.092), (346, 2.972)]
722 registered_mae [(722, 5.785), (713, 3.77), (721, 3.745), (709, 3.743), (711, 3.442)]
722 normalized [(722, 3.482), (709, 2.63), (713, 2.604), (711, 2.447), (705, 2.434)]
722 normalized_p50 [(722, 4.332), (713, 3.086), (709, 3.082), (728, 3.033), (711, 2.936)]
1083 registered_mae [(1083, 5.272), (1107, 4.484), (1099, 4.325), (1095, 4.229), (1091, 4.038)]
1083 normalized [(1083, 3.709), (1068, 2.365), (1066, 2.36), (1093, 2.125), (1070, 2.115)]
1083 normalized_p50 [(1083, 4.075), (1066, 3.619), (1068, 3.515), (1060, 3.436), (1062, 3.435)]
1444 registered_mae [(1444, 5.408), (1429, 4.624), (1441, 4.298), (1425, 3.946), (1453, 3.765)]
1444 normalized [(1444, 3.714), (1441, 2.139), (1425, 2.089), (1465, 2.0), (1453, 1.917)]
1444 normalized_p50 [(1429, 4.191), (1444, 3.931), (1441, 3.772), (1453, 3.662), (1425, 3.616)]
1805 registered_mae [(1800, 8.378), (1792, 8.155), (1784, 7.551), (1788, 7.347), (1804, 7.192)]
1805 normalized [(1805, 4.315), (1782, 2.646), (1792, 2.516), (1789, 2.454), (1793, 2.406)]
1805 normalized_p50 [(1805, 4.687), (1789, 3.952), (1792, 3.717), (1790, 3.682), (1788, 3.649)]
2166 registered_mae [(2166, 7.619), (2153, 6.524), (2144, 6.448), (2145, 6.301), (2148, 6.061)]
2166 normalized [(2166, 5.722), (2177, 4.44), (2187, 4.22), (2167, 4.191), (2183, 4.181)]
2166 normalized_p50 [(2166, 6.277), (2177, 4.52), (2187, 4.295), (2167, 4.27), (2183, 4.264)]
2527 registered_mae [(2527, 5.642), (2504, 3.146), (2509, 3.039), (2514, 3.003), (2505, 2.781)]
2527 normalized [(2527, 3.615), (2504, 2.763), (2514, 2.53), (2509, 2.452), (2505, 2.437)]
2527 normalized_p50 [(2527, 4.413), (2504, 3.012), (2509, 2.955), (2514, 2.888), (2505, 2.709)]
2888 registered_mae [(2888, 7.539), (2879, 6.196), (2875, 6.048), (2871, 5.827), (2867, 5.807)]
2888 normalized [(2888, 3.342), (2873, 3.221), (2872, 3.126), (2869, 3.067), (2876, 3.001)]
2888 normalized_p50 [(2888, 4.402), (2873, 3.852), (2879, 3.786), (2872, 3.683), (2869, 3.627)]
3240 registered_mae [(3240, 7.668), (3228, 6.413), (3226, 6.367), (3225, 6.353), (3221, 6.299)]
3240 normalized [(3228, 3.915), (3235, 3.363), (3240, 3.296), (3227, 3.213), (3225, 2.992)]
3240 normalized_p50 [(3226, 4.783), (3228, 4.77), (3225, 4.735), (3235, 4.734), (3218, 4.692)]
