400
800
1200
1600
2000
2400
2800
3200

TOP scale
2760 115.115 0.152 [1.0, 1.0, 0.0] 0.511 0.404
2756 114.9482 0.1508 [1.0, 1.0, 1.0] 0.558 0.51
2768 115.4487 0.1333 [-1.0, -1.0, -1.0] 0.204 0.141
2763 115.2401 0.1263 [-1.0, -2.0, -2.0] 0.522 0.285
2759 115.0733 0.1116 [-1.0, -1.0, -1.0] 0.582 0.5
2765 115.3235 0.0846 [0.0, 0.0, 0.0] 0.36 0.167
570 23.7737 0.0765 [1.0, 1.0, 1.0] 0.716 0.258
1696 70.7373 0.0729 [0.0, -1.0, 0.0] 0.66 0.303
2767 115.407 0.0695 [0.0, 0.0, 0.0] 0.524 0.22
574 23.9406 0.0691 [1.0, 1.0, 1.0] 0.384 0.362
1756 73.2398 0.0668 [0.0, -1.0, -1.0] 0.687 0.294
2771 115.5738 0.0667 [-1.0, -2.0, -1.0] 0.391 0.256
1732 72.2388 0.0663 [0.0, -1.0, -1.0] 0.7 0.305
2752 114.7813 0.0662 [0.0, 0.0, 0.0] 0.771 0.654
1712 71.4047 0.0633 [-1.0, -1.0, -1.0] 0.753 0.298
1700 70.9042 0.0597 [-1.0, -1.0, -1.0] 0.673 0.251
1796 74.9082 0.0597 [0.0, -1.0, 0.0] 0.816 0.3
1744 72.7393 0.0579 [-1.0, -1.0, -1.0] 0.733 0.179
1752 73.073 0.0559 [-1.0, -1.0, -1.0] 0.702 0.269
568 23.6903 0.0559 [0.0, 0.0, 0.0] 0.78 0.318
2753 114.823 0.0556 [0.0, 0.0, 0.0] 0.838 0.769
576 24.024 0.0554 [1.0, 1.0, 0.0] 0.38 0.327
2755 114.9065 0.0554 [-1.0, -1.0, -1.0] 0.816 0.711
1748 72.9062 0.0551 [0.0, 0.0, 0.0] 0.638 0.324
1740 72.5725 0.0543 [0.0, -1.0, -1.0] 0.853 0.214
1736 72.4057 0.0542 [-1.0, -1.0, -1.0] 0.693 0.314
2764 115.2818 0.0535 [0.0, 0.0, 0.0] 0.242 0.128
165 6.8819 0.0532 [0.0, 0.0, 0.0] 0.782 0.246
1614 67.3173 0.053 [0.0, 0.0, 0.0] 0.849 0.503
1615 67.359 0.0529 [0.0, 0.0, 0.0] 0.844 0.455
1728 72.072 0.0523 [0.0, 0.0, 0.0] 0.707 0.352
1724 71.9052 0.0518 [0.0, -1.0, 0.0] 0.644 0.224
572 23.8572 0.0511 [0.0, 1.0, 0.0] 0.558 0.287
1613 67.2755 0.0507 [0.0, -1.0, 0.0] 0.918 0.499
1784 74.4077 0.0503 [-1.0, -1.0, -1.0] 0.847 0.218

TOP color
2166 90.3402 20.0 [-5.0, -8.0, -7.0] 1.0 0.773
2783 116.0743 20.0 [6.0, 8.0, 6.0] 0.871 0.48
2787 116.2411 19.0 [6.0, 7.0, 6.0] 0.898 0.609
2888 120.4537 18.0 [-4.0, -6.0, -8.0] 0.931 0.468
2784 116.116 15.0 [5.0, 5.0, 5.0] 0.816 0.52
2780 115.9492 14.0 [5.0, 5.0, 4.0] 0.842 0.488
2788 116.2828 11.0 [3.0, 4.0, 4.0] 0.938 0.699
2781 115.9909 10.0 [4.0, 4.0, 2.0] 0.944 0.522
2785 116.1577 10.0 [3.0, 4.0, 3.0] 1.0 1.0
3240 135.135 8.0 [-2.0, -3.0, -3.0] 0.996 0.612
2779 115.9075 7.0 [3.0, 3.0, 1.0] 0.907 0.564
722 30.1134 6.0 [2.0, -1.0, -3.0] 0.996 0.674
2527 105.397 6.0 [2.0, 2.0, 2.0] 0.989 0.701
361 15.0567 5.0 [1.0, 1.0, -3.0] 0.9 0.755
2763 115.2401 5.0 [-1.0, -2.0, -2.0] 0.522 0.285
2777 115.824 5.0 [2.0, 2.0, 1.0] 0.956 0.733
2771 115.5738 4.0 [-1.0, -2.0, -1.0] 0.391 0.256
570 23.7737 3.0 [1.0, 1.0, 1.0] 0.716 0.258
574 23.9406 3.0 [1.0, 1.0, 1.0] 0.384 0.362
578 24.1074 3.0 [1.0, 1.0, 1.0] 0.38 0.368
582 24.2742 3.0 [1.0, 1.0, 1.0] 0.771 0.213
589 24.5662 3.0 [1.0, 1.0, 1.0] 0.944 0.294
1444 60.2268 3.0 [1.0, 1.0, -1.0] 0.978 0.809
1700 70.9042 3.0 [-1.0, -1.0, -1.0] 0.673 0.251
1712 71.4047 3.0 [-1.0, -1.0, -1.0] 0.753 0.298
1736 72.4057 3.0 [-1.0, -1.0, -1.0] 0.693 0.314
1744 72.7393 3.0 [-1.0, -1.0, -1.0] 0.733 0.179
1745 72.781 3.0 [-1.0, -1.0, -1.0] 0.789 0.27
1752 73.073 3.0 [-1.0, -1.0, -1.0] 0.702 0.269
1784 74.4077 3.0 [-1.0, -1.0, -1.0] 0.847 0.218
1792 74.7413 3.0 [-1.0, -1.0, -1.0] 0.833 0.323
1941 80.9559 3.0 [-1.0, -1.0, -1.0] 0.9 0.442
1943 81.0393 3.0 [1.0, 1.0, 1.0] 0.998 0.639
1999 83.375 3.0 [1.0, 1.0, 1.0] 0.991 0.962
2003 83.5418 3.0 [1.0, 1.0, 1.0] 0.936 0.957

TOP warped_mae
2768 115.4487 49.5089 [-1.0, -1.0, -1.0] 0.204 0.141
2764 115.2818 48.1742 [0.0, 0.0, 0.0] 0.242 0.128
2772 115.6155 46.2902 [2.0, 1.0, 0.0] 0.533 0.15
2765 115.3235 42.3052 [0.0, 0.0, 0.0] 0.36 0.167
2771 115.5738 41.9307 [-1.0, -2.0, -1.0] 0.391 0.256
2232 93.093 39.6713 [0.0, 0.0, 0.0] 0.267 0.708
2767 115.407 39.4594 [0.0, 0.0, 0.0] 0.524 0.22
2775 115.7406 38.1678 [1.0, 1.0, 0.0] 0.564 0.339
2233 93.1347 37.1548 [0.0, 0.0, 0.0] 0.42 0.497
2776 115.7823 34.7403 [2.0, 1.0, 0.0] 0.547 0.341
2231 93.0513 33.2824 [0.0, 0.0, 0.0] 0.442 0.744
2238 93.3432 33.0645 [0.0, 0.0, 0.0] 0.769 0.275
2236 93.2598 32.5718 [0.0, 0.0, 0.0] 0.729 0.351
2763 115.2401 32.0701 [-1.0, -2.0, -2.0] 0.522 0.285
2235 93.2181 31.9974 [0.0, 0.0, 0.0] 0.807 0.364
2237 93.3015 30.9167 [0.0, 0.0, 0.0] 0.804 0.32
2230 93.0096 28.6427 [0.0, 0.0, 0.0] 0.607 0.857
1704 71.071 28.372 [0.0, 0.0, 0.0] 0.631 0.384
578 24.1074 27.6576 [1.0, 1.0, 1.0] 0.38 0.368
1732 72.2388 26.9745 [0.0, -1.0, -1.0] 0.7 0.305
1748 72.9062 26.8554 [0.0, 0.0, 0.0] 0.638 0.324
1700 70.9042 26.7462 [-1.0, -1.0, -1.0] 0.673 0.251
2760 115.115 26.5914 [1.0, 1.0, 0.0] 0.511 0.404
1708 71.2378 26.5686 [0.0, 0.0, 0.0] 0.816 0.256
2974 124.0406 26.453 [0.0, 0.0, 0.0] 0.936 0.876
1724 71.9052 26.3303 [0.0, -1.0, 0.0] 0.644 0.224
2972 123.9572 25.8291 [0.0, 0.0, 0.0] 0.84 0.836
3010 125.5421 25.8095 [0.0, 0.0, 0.0] 0.96 0.558
3006 125.3752 25.7703 [0.0, 0.0, 0.0] 0.984 0.691
576 24.024 25.6787 [1.0, 1.0, 0.0] 0.38 0.327
2973 123.9989 25.5116 [1.0, 0.0, 1.0] 0.891 0.9
1696 70.7373 25.439 [0.0, -1.0, 0.0] 0.66 0.303
3005 125.3335 25.242 [0.0, 0.0, 0.0] 0.907 0.743
2461 102.6442 25.1544 [0.0, 0.0, 0.0] 0.784 0.204
2976 124.124 25.1417 [1.0, 1.0, 0.0] 0.813 0.885
